date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:06	27707/27707	---M--	200	added ('OK')	image/png	etag:%226c3b-5caf0a881aa18%22	https://adirara.webnikah.com/template/nikah-wayang/assets/img/bottom_r.png	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/template/nikah-wayang/assets/img/bottom_r.png	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:42:08	53953/53953	---M--	200	added ('OK')	image/png	etag:%22d2c1-5caf0a881b9b8%22	https://adirara.webnikah.com/template/nikah-wayang/assets/img/gunungan1.png	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/template/nikah-wayang/assets/img/gunungan1.png	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:42:08	58076/58076	---M--	200	added ('OK')	image/png	etag:%22e2dc-5caf0a881b9b8%22	https://adirara.webnikah.com/template/nikah-wayang/assets/img/gunungan2.png	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/template/nikah-wayang/assets/img/gunungan2.png	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:42:08	451897/451897	---M--	200	added ('OK')	image/jpeg	etag:%226e539-5d8ecb5cc8c19%22	https://adirara.webnikah.com/dirmember/00000001/adisumaryadi/pria-1-220226093417-l.jpg	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/dirmember/00000001/adisumaryadi/pria-1-220226093417-l.jpg	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:42:08	9664/9664	---M--	200	added ('OK')	image/png	etag:%2225c0-5caf0a881b9b8%22	https://adirara.webnikah.com/template/nikah-wayang/assets/img/hr.png	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/template/nikah-wayang/assets/img/hr.png	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:42:08	549098/549098	---M--	200	added ('OK')	image/jpeg	etag:%22860ea-5caf0bd894534%22	https://adirara.webnikah.com/dirmember/00000001/adisumaryadi/wanita-1-210627044705-l.jpg	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/dirmember/00000001/adisumaryadi/wanita-1-210627044705-l.jpg	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:42:09	62636/62636	---M--	200	added ('OK')	image/png	etag:%22f4ac-5e9147aae1519%22	https://adirara.webnikah.com/dirmember/00000001/adisumaryadi/weddingmap-1.png	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/dirmember/00000001/adisumaryadi/weddingmap-1.png	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:42:09	269510/269510	---M--	200	added ('OK')	image/jpeg	etag:%2241cc6-5caf0bd865734%22	https://adirara.webnikah.com/dirmember/00000001/adisumaryadi/photo-1-47-l.jpg	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/dirmember/00000001/adisumaryadi/photo-1-47-l.jpg	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:42:09	246873/246873	---M--	200	added ('OK')	image/jpeg	etag:%223c459-5caf0bd865734%22	https://adirara.webnikah.com/dirmember/00000001/adisumaryadi/photo-1-48-l.jpg	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/dirmember/00000001/adisumaryadi/photo-1-48-l.jpg	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:42:09	161690/161690	---M--	200	added ('OK')	image/jpeg	etag:%222779a-5caf0bd8666d4%22	https://adirara.webnikah.com/dirmember/00000001/adisumaryadi/photo-1-49-l.jpg	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/dirmember/00000001/adisumaryadi/photo-1-49-l.jpg	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
